id,Var1,Freq
1811,HARRY AGGANIS WAY,3
1820,HARVARD AV,180
1821,HARVARD AVE,8
1826,HARVARD ST,6
1828,HARVARD TR,2
1834,HASKELL ST,4
1839,HATHERLEY RD,3
1840,HATHERLY RD,1
1882,HENSHAW ST,17
1888,HERRICK ST,2
1893,HICHBORN ST,15
1894,HIGGINS ST,8
1895,HIGH ROCK WY,7
1904,HIGHGATE ST,10
1927,HOBART ST,5
1928,HOBSON ST,13
1941,HOLMAN ST,3
1943,HOLMES ST,2
1946,HOLTON ST,7
1955,HOOKER ST,21
1958,HOPEDALE ST,9
1998,HUNNEWELL AV,8
2018,IMRIE RD,4
2039,ISLINGTON ST,2
2040,ISLINGTON TR,3
2061,JETTE CT,36
2099,JUSTIN RD,5
2111,KELLEY CT,5
2112,KELTON ST,71
2125,KENRICK ST,21
2141,KILSYTH RD,18
2142,KILSYTH TR,1
2151,KINGSLEY ST,2
2154,KINROSS RD,4
2155,KIRKWOOD RD,30
2172,LAKE SHORE,1
2173,LAKE SHORE CT,2
2174,LAKE SHORE RD,15
2176,LAKE ST,22
2186,LANARK RD,11
2191,LANE PARK,5
2194,LANGLEY RD,19
2202,LAROSE PL,4
2218,LAWRENCE PL,3
2219,LAWRENCE ST,6
2223,LEAMINGTON RD,3
2227,LEDGEMERE RD,3
2233,LEICESTER ST,11
2265,LIFE ST,2
2271,LINCOLN ST,58
2274,LINDEN AV,1
2276,LINDEN PARK ST,1
2278,LINDEN ST,84
2290,LITCHFIELD ST,28
2310,LONG AV,14
2311,LONG AVE,2
2329,LORRAINE TR,7
2330,LOTHIAN RD,15
2331,LOTHROP ST,2
2352,LYNE RD,1
2359,MACKIN ST,4
2361,MADELINE ST,1
2374,MALBERT RD,1
2384,MALVERN ST,7
2395,MANSFIELD ST,7
2398,MANTON TR,1
2405,MAPLETON ST,12
2419,MARGO RD,3
2428,MARKET ST,118
2463,MATCHETT ST,5
2493,MEAD ST,1
2513,MELTON RD,3
2518,MELVIN AV,10
2523,MENLO ST,2
2545,MICHAEL RD,1
2581,MONASTERY RD,8
2595,MONTCALM AV,7
2602,MONTFERN AV,17
2646,MOUNT VERNON ST,1
2660,MT HOOD RD,7
2670,MT VERNON ST,11
2675,MURDOCK ST,16
2676,MURDOCK TR,1
2682,MYRICK ST,5
2689,N BEACON ST,144
2695,N CRESCENT CIRCUIT,5
2698,N HARVARD ST,45
2713,NAPLES RD,1
2738,NEVINS ST,2
2758,NEWCASTLE RD,6
2769,NEWTON ST,26
2773,NILES ST,5
2780,NONANTUM RD,3
2781,NONANTUM ST,6
2807,NOTTINGHILL RD,8
2819,OAK SQUARE AV,4
2820,OAK SQUARE AVE,2
2826,OAKLAND PL,1
2827,OAKLAND ST,13
2861,OLIVA RD,1
2881,ORKNEY RD,21
2930,PARK VALE AV,33
2950,PARSONS ST,33
2968,PEACEABLE ST,2
2982,PENNIMAN RD,9
2995,PERTHSHIRE RD,24
3031,PLATT RD,1
3059,PORTSMOUTH ST,5
3067,PRATT ST,37
3072,PRESENTATION RD,4
3073,PRESIDENT TER,1
3076,PRICE RD,9
3081,PRISCILLA RD,6
3137,QUINT AV,29
3138,QUINT AVE,1
3139,RADCLIFFE RD,5
3142,RADNOR RD,13
3154,RANELEGH RD,1
3158,RANSOM RD,10
3162,RAYMOND ST,14
3177,REEDSDALE ST,17
3183,RENA ST,1
3198,RICHARDSON ST,3
3209,RIDGEMONT ST,19
3226,RIVERDALE ST,6
3229,RIVERVIEW RD,6
3268,ROGERS PARK AV,5
3279,ROSE GARDEN CR,3
3313,ROYAL ST,6
3314,ROYCE RD,14
3320,RUGG RD,14
3338,RYAN RD,1
3344,S CRESCENT CIRT,1
3347,S HOBART ST,3
3357,S WAVERLY ST,10
3399,SANDERSON PL,1
3408,SAUNDERS ST,11
3416,SAWYER AV,1
3418,SAWYER TR,1
3420,SAYBROOK ST,9
3427,SCHOOL ST,4
3438,SCOTTFIELD RD,5
3448,SEATTLE ST,2
3460,SELKIRK RD,3
3478,SHANLEY ST,2
3479,SHANNON ST,9
3493,SHEPARD ST,5
3494,SHEPARD WY,1
3510,SIDLAW RD,12
3517,SINCLAIR RD,2
3527,SNOW ST,5
3531,SOLDIERS FIELD PARK,1
3532,SOLDIERS FIELD PL,2
3533,SOLDIERS FIELD RD,68
3537,SORRENTO ST,2
3539,SOUTH ST,19
3541,SOUTH STREET,3
3552,SPARHAWK ST,12
3560,SPOFFORD RD,6
3597,ST LUKES RD,20
3608,ST THOMAS MORE RD,12
3654,STRATHMORE RD,45
3670,SUMMIT AV,14
3671,SUMMIT AVE,2
3690,SURREY ST,13
3692,SUTHERLAND RD,33
3729,TELFORD ST,1
3778,TIP TOP ST,2
3796,TRAPELO ST,3
3799,TRAVIS ST,1
3804,TREMONT PL,1
3805,TREMONT ST,47
3823,TURNER ST,8
3832,UNDINE RD,5
3837,UNION ST,17
3843,UPCREST RD,2
3888,VINAL ST,8
3892,VINELAND ST,12
3939,W SORRENTO ST,1
3948,WADE ST,2
3950,WADSWORTH ST,8
3955,WALBRIDGE ST,7
3971,WALLINGFORD RD,24
3991,WARREN AV,3
3995,WARREN ST,142
3999,WASHBURN ST,1
4005,WASHINGTON ST,439
4014,WAVERLY ST,14
4022,WEBLEY ST,5
4029,WEITZ ST,6
4065,WESTERN AV,94
4066,WESTERN AVE,4
4067,WESTFORD PL,1
4068,WESTFORD ST,2
4143,WILLIAM JACKSON AV,1
4151,WILLOUGHBY ST,3
4163,WILSON PARK,6
4165,WILTON ST,2
4166,WILTSHIRE RD,2
4171,WINDOM ST,4
4175,WINSHIP PL,2
4176,WINSHIP ST,23
4220,WOODMONT ST,1
4227,WOODSTOCK AV,12
