,Var1,Freq
1380,EXCHANGE PL,5
1403,FANEUIL HALL MARKETPLACE,3
1404,FANEUIL HALL SQ,162
1405,FANEUIL ST,1
1431,FAYETTE ST,16
1436,FEDERAL ST,43
1464,FINANCIAL CENTER,4
1473,FLEET ST,16
1474,FLETCHER ST,1
1500,FOSTER CT,1
1501,FOSTER ST,2
1522,FRANKLIN ST,111
1536,FRIEND ST,59
1541,FRUIT ST,131
1545,FULTON PL,2
1546,FULTON ST,44
1557,GARDEN CT ST,3
1558,GARDEN ST,19
1562,GARDNER ST,1
1722,GROVE ST,20
1738,HADASSAH WY,1
1760,HAMILTON PL,23
1761,HAMILTON ST,1
1768,HANCOCK ST,32
1771,HANOVER AV,3
1772,HANOVER ST,228
1800,HARRINGTON AV,2
1802,HARRIS ST,1
1805,HARRISON AV,116
1806,HARRISON AVE,7
1808,HARRISON PARK,1
1809,HARRISON ST,2
1845,HAVERHILL ST,2
1848,HAWKINS ST,3
1850,HAWLEY ST,6
1852,HAWTHORNE PL,6
1853,HAWTHORNE ST,1
1854,HAYDEN ST,1
1858,HAYWARD PL,10
1864,HEAD PL,1
1876,HENCHMAN ST,11
1896,HIGH ST,121
1934,HOLDEN CT,1
1986,HUDSON ST,58
1987,HULL ST,12
1988,HULL ST CT,1
2020,INDIA ROW,1
2021,INDIA ST,24
2024,INTERNATIONAL PL,8
2034,IRVING ST,26
2036,ISABELLA ST,10
2042,JACKSON AVE,1
2074,JOHNNY CT,3
2087,JOY PL,1
2088,JOY ST,34
2138,KILBY PL,1
2139,KILBY ST,8
2153,KINGSTON ST,51
2157,KNAPP ST,10
2158,KNEELAND ST,114
2162,KNOX ST,1
2168,LAFAYETTE AV,1
2171,LAGRANGE ST,42
2187,LANCASTER ST,5
2232,LEGENDS WAY,81
2255,LEWIS ST,11
2256,LEWIS WHRF,1
2264,LIBERTY SQ,6
2268,LIME ST,1
2271,LINCOLN ST,110
2304,LOMASNEY WY,29
2309,LONG,1
2314,LONG WHRF,11
2315,LONGFELLOW PL,25
2335,LOUISBURG SQ,29
2349,LYNDEBORO PL,2
2353,LYNN ST,1
2402,MAPLE PL,4
2414,MARGARET ST,2
2417,MARGINAL RD,35
2418,MARGINAL ST,5
2435,MARSHALL ST,12
2438,MARTHA RD,10
2455,MASON ST,9
2489,MCKINLEY SQ,8
2501,MEDFORD ST,4
2512,MELROSE ST,18
2527,MERCHANTS ROW,1
2528,MERCHANTS RW,12
2536,MERRIMAC ST,16
2546,MICHELANGELO ST,8
2558,MILK ST,100
2559,MILL ST,1
2615,MOON ST,4
2646,MOUNT VERNON ST,4
2668,MT VERNON PL,2
2669,MT VERNON SQ,2
2670,MT VERNON ST,61
2683,MYRTLE ST,28
2688,N ANDERSON ST,5
2690,N BENNET CT,1
2691,N BENNET ST,8
2700,N MARGIN ST,14
2701,N MARKET ST,21
2707,N WASHINGTON ST,53
2715,NASHUA ST,9
2716,NASSAU ST,10
2741,NEW CHARDON ST,107
2751,NEW SUDBURY ST,2
2790,NORTH SQ,6
2791,NORTH ST,74
2808,NOYES PL,3
2821,OAK ST,68
2822,OAK ST W,3
2844,OCONNELL WY,1
2863,OLIVER ST,7
2893,OTIS ST,5
2900,OXFORD PL,7
2901,OXFORD ST,24
2920,PARK DR,1
2924,PARK PL,1
2925,PARK PLAZA,148
2926,PARK PLZ,8
2928,PARK ST,41
2938,PARKMAN ST,5
2948,PARMENTER ST,9
2970,PEARL PL,1
2971,PEARL ST,16
2976,PEMBERTON SQ,8
3003,PHILLIPS ST,45
3006,PIE AL,5
3007,PIEDMONT ST,6
3015,PINCKNEY ST,29
3017,PINE ST,7
3023,PING ON ST,10
3058,PORTLAND ST,47
3060,POST OFFICE SQ,36
3064,POWERS CT,1
3079,PRINCE ST,63
3087,PROVIDENCE ST,14
3088,PROVINCE CT,1
3089,PROVINCE ST,37
3123,PURCHASE ST,13
3188,REVERE ST,32
3202,RICHMOND ST,28
3211,RIDGEWAY LA,2
3221,RIVER ST,13
3305,ROWES,1
3306,ROWES WHRF,19
3350,S MARKET ST,26
3354,S RUSSELL ST,11
3385,SALEM ST,68
3386,SALEM ST AV,1
3390,SALT LA,1
3391,SALUTATION ST,6
3427,SCHOOL ST,148
3435,SCIENCE PARK,1
3444,SEAPORT BL,3
3449,SEAVER PL,1
3483,SHAWMUT AV,12
3485,SHAWMUT ST,2
3487,SHEAFE ST,16
3522,SMITH CT,1
3526,SNOW HILL ST,14
3535,SOMERSET ST,8
3539,SOUTH ST,64
3540,SOUTH STATION,1
3541,SOUTH STREET,2
3593,ST JAMES ST,1
3616,STANIFORD ST,53
3625,STATE ST,286
3633,STILLMAN PL,1
3634,STILLMAN ST,10
3641,STONEHILL RD,1
3656,STRONG PL,1
3657,STUART ST,285
3662,SUDBURY ST,220
3668,SUMMER ST,238
3669,SUMMER ST CT,1
3678,SUMNER ST,1
3689,SURFACE RD,62
3714,TAI TUNG ST,2
3719,TAMWORTH ST,15
3730,TEMPLE PL,40
3731,TEMPLE ST,18
3745,THACHER CT,1
3746,THACHER ST,6
3748,THATCHER ST,3
3763,THOREAU PA,1
3775,TILESTON ST,6
3804,TREMONT PL,6
3805,TREMONT ST,772
3806,TRENT ST,1
3821,TUFTS ST,8
3829,TYLER ST,49
3833,UNION AV,1
3837,UNION ST,77
3838,UNION WHARF,1
3840,UNITY CT,1
3841,UNITY ST,3
3849,UTICA PL,1
3850,UTICA ST,7
3917,W CEDAR ST,24
3972,WALNUT,1
3979,WALNUT ST,10
3997,WARRENTON ST,64
3999,WASHBURN ST,5
4001,WASHINGTON AV,7
4002,WASHINGTON MALL,10
4003,WASHINGTON PL,1
4004,WASHINGTON SQ,1
4005,WASHINGTON ST,1242
4006,WASHINGTON ST PL,2
4007,WATER ST,31
4013,WAVERLY PL,1
4024,WEBSTER PL,1
4045,WENDELL PL,1
4046,WENDELL ST,2
4058,WEST ST,56
4099,WHARF ST,1
4124,WHITTIER PL,6
4128,WIGET ST,6
4154,WILLOW ST,3
4168,WINCHESTER ST,8
4180,WINTER PL,8
4181,WINTER ST,205
4183,WINTHROP LN,1
4184,WINTHROP SQ,4
